datetime,DXY open,DXY high,DXY low,DXY close
2023-01-03 13:00:00+00:00,104.762,104.805,104.459,104.54
2023-01-03 14:00:00+00:00,104.54,104.595,104.146,104.298
2023-01-03 15:00:00+00:00,104.3,104.552,104.287,104.549
2023-01-03 16:00:00+00:00,104.549,104.755,104.537,104.601
2023-01-03 17:00:00+00:00,104.6,104.724,104.565,104.675
2023-01-03 18:00:00+00:00,104.675,104.691,104.542,104.564
2023-01-03 19:00:00+00:00,104.563,104.586,104.499,104.518
2023-01-03 20:00:00+00:00,104.519,104.649,104.495,104.647
2023-01-03 21:00:00+00:00,104.646,104.693,104.633,104.68
2023-01-03 22:00:00+00:00,104.68,104.692,104.657,104.673
2023-01-04 13:00:00+00:00,104.104,104.204,103.982,104.044
2023-01-04 14:00:00+00:00,104.044,104.139,103.955,103.98
2023-01-04 15:00:00+00:00,103.979,104.409,103.979,104.237
2023-01-04 16:00:00+00:00,104.238,104.318,104.097,104.105
2023-01-04 17:00:00+00:00,104.105,104.248,104.08,104.222
2023-01-04 18:00:00+00:00,104.222,104.311,104.18,104.284
2023-01-04 19:00:00+00:00,104.284,104.41,104.219,104.248
2023-01-04 20:00:00+00:00,104.247,104.276,104.199,104.267
2023-01-04 21:00:00+00:00,104.267,104.289,104.238,104.262
2023-01-04 22:00:00+00:00,104.262,104.271,104.208,104.213
2023-01-05 13:00:00+00:00,104.378,104.912,104.328,104.91
2023-01-05 14:00:00+00:00,104.908,105.059,104.831,105.037
2023-01-05 15:00:00+00:00,105.038,105.272,104.894,105.253
2023-01-05 16:00:00+00:00,105.253,105.26,105.115,105.176
2023-01-05 17:00:00+00:00,105.176,105.182,105.037,105.084
2023-01-05 18:00:00+00:00,105.085,105.097,104.925,104.989
2023-01-05 19:00:00+00:00,104.988,105.065,104.966,105.042
2023-01-05 20:00:00+00:00,105.043,105.143,105.042,105.143
2023-01-05 21:00:00+00:00,105.144,105.178,105.125,105.13
2023-01-05 22:00:00+00:00,105.129,105.177,105.11,105.126
2023-01-06 13:00:00+00:00,105.571,105.625,104.93,104.941
2023-01-06 14:00:00+00:00,104.943,105.365,104.942,105.288
2023-01-06 15:00:00+00:00,105.287,105.289,104.242,104.297
2023-01-06 16:00:00+00:00,104.296,104.344,104.095,104.125
2023-01-06 17:00:00+00:00,104.124,104.151,103.967,103.967
2023-01-06 18:00:00+00:00,103.968,104.04,103.924,103.968
2023-01-06 19:00:00+00:00,103.968,103.968,103.869,103.879
2023-01-06 20:00:00+00:00,103.88,103.922,103.875,103.898
2023-01-06 21:00:00+00:00,103.902,103.927,103.897,103.911
2023-01-09 13:00:00+00:00,103.545,103.565,103.165,103.231
2023-01-09 14:00:00+00:00,103.231,103.369,103.137,103.197
2023-01-09 15:00:00+00:00,103.196,103.208,103.033,103.11
2023-01-09 16:00:00+00:00,103.11,103.111,102.946,102.954
2023-01-09 17:00:00+00:00,102.955,103.131,102.944,103.033
2023-01-09 18:00:00+00:00,103.034,103.16,103.002,103.112
2023-01-09 19:00:00+00:00,103.112,103.113,102.993,103.001
2023-01-09 20:00:00+00:00,103.001,103.193,102.995,103.19
2023-01-09 21:00:00+00:00,103.19,103.208,103.168,103.196
2023-01-09 22:00:00+00:00,103.197,103.214,103.189,103.192
2023-01-10 13:00:00+00:00,103.425,103.49,103.356,103.374
2023-01-10 14:00:00+00:00,103.374,103.374,103.033,103.206
2023-01-10 15:00:00+00:00,103.205,103.388,103.108,103.334
2023-01-10 16:00:00+00:00,103.334,103.362,103.192,103.296
2023-01-10 17:00:00+00:00,103.295,103.33,103.206,103.309
2023-01-10 18:00:00+00:00,103.309,103.351,103.254,103.258
2023-01-10 19:00:00+00:00,103.261,103.27,103.214,103.236
2023-01-10 20:00:00+00:00,103.235,103.317,103.209,103.281
2023-01-10 21:00:00+00:00,103.281,103.305,103.266,103.296
2023-01-10 22:00:00+00:00,103.297,103.297,103.261,103.281
2023-01-11 13:00:00+00:00,103.408,103.417,103.304,103.336
2023-01-11 14:00:00+00:00,103.337,103.368,103.128,103.163
2023-01-11 15:00:00+00:00,103.165,103.318,103.14,103.305
2023-01-11 16:00:00+00:00,103.305,103.375,103.235,103.375
2023-01-11 17:00:00+00:00,103.376,103.4,103.338,103.344
2023-01-11 18:00:00+00:00,103.344,103.413,103.205,103.244
