id,datetime,currency,event,impact,actual,actual_unit,forecast,forecast_unit,previous,previous_unit,previous_revised
116736,2021-01-04 09:30:00+00:00,GBP,Final Manufacturing PMI,Medium Impact Expected,57.5,unit_none,57.3,unit_none,57.3,unit_none,False
119457,2021-01-04 09:30:00+00:00,GBP,M4 Money Supply m/m,Low Impact Expected,0.8,unit_percentage,0.4,unit_percentage,0.7,unit_percentage,True
119456,2021-01-04 09:30:00+00:00,GBP,Mortgage Approvals,Low Impact Expected,105.0,unit_thousand,82.0,unit_thousand,98.0,unit_thousand,False
119458,2021-01-04 09:30:00+00:00,GBP,Net Lending to Individuals m/m,Low Impact Expected,4.1,unit_billion,3.0,unit_billion,3.8,unit_billion,True
112372,2021-01-06 00:01:00+00:00,GBP,BRC Shop Price Index y/y,Low Impact Expected,-1.8,unit_percentage,,,-1.8,unit_percentage,False
116818,2021-01-06 09:30:00+00:00,GBP,Final Services PMI,Low Impact Expected,49.4,unit_none,49.9,unit_none,49.9,unit_none,False
119815,2021-01-06 10:05:00+00:00,GBP,10-y Bond Auction,Low Impact Expected,,unit_none,,,,unit_none,False
121384,2021-01-06 14:30:00+00:00,GBP,BOE Gov Bailey Speaks,High Impact Expected,,,,,,,
119817,2021-01-07 09:30:00+00:00,GBP,Construction PMI,Low Impact Expected,54.6,unit_none,54.6,unit_none,54.7,unit_none,False
116406,2021-01-07 09:32:00+00:00,GBP,Housing Equity Withdrawal q/q,Low Impact Expected,-7.0,unit_billion,-7.0,unit_billion,-9.0,unit_billion,True
119492,2021-01-08 08:30:00+00:00,GBP,Halifax HPI m/m,Low Impact Expected,0.2,unit_percentage,1.0,unit_percentage,1.0,unit_percentage,True
121391,2021-01-11 14:00:00+00:00,GBP,MPC Member Tenreyro Speaks,Low Impact Expected,,,,,,,
120006,2021-01-12 00:01:00+00:00,GBP,BRC Retail Sales Monitor y/y,Low Impact Expected,4.8,unit_percentage,5.9,unit_percentage,7.7,unit_percentage,False
121392,2021-01-12 10:00:00+00:00,GBP,MPC Member Broadbent Speaks,Medium Impact Expected,,,,,,,
