id,datetime,currency,event,impact,actual,actual_unit,forecast,forecast_unit,previous,previous_unit,previous_revised
117558,2021-01-04 14:45:00+00:00,USD,Final Manufacturing PMI,Low Impact Expected,57.1,unit_none,56.3,unit_none,56.5,unit_none,False
117293,2021-01-04 15:00:00+00:00,USD,Construction Spending m/m,Low Impact Expected,0.9,unit_percentage,1.1,unit_percentage,1.6,unit_percentage,True
121380,2021-01-04 15:00:00+00:00,USD,FOMC Member Bostic Speaks,Low Impact Expected,,,,,,,
121379,2021-01-04 15:00:00+00:00,USD,FOMC Member Evans Speaks,Low Impact Expected,,,,,,,
117400,2021-01-05 00:00:00+00:00,USD,Wards Total Vehicle Sales,Low Impact Expected,16.3,unit_million,15.8,unit_million,15.6,unit_million,False
117305,2021-01-05 15:00:00+00:00,USD,ISM Manufacturing PMI,Medium Impact Expected,60.7,unit_none,56.6,unit_none,57.5,unit_none,False
117306,2021-01-05 15:00:00+00:00,USD,ISM Manufacturing Prices,Low Impact Expected,77.6,unit_none,66.0,unit_none,65.4,unit_none,False
121381,2021-01-05 20:45:00+00:00,USD,FOMC Member Evans Speaks,Low Impact Expected,,,,,,,
117488,2021-01-06 13:15:00+00:00,USD,ADP Non-Farm Employment Change,Medium Impact Expected,-123.0,unit_thousand,60.0,unit_thousand,304.0,unit_thousand,True
121365,2021-01-06 14:45:00+00:00,USD,Final Services PMI,Low Impact Expected,54.8,unit_none,55.2,unit_none,55.3,unit_none,False
118252,2021-01-06 15:00:00+00:00,USD,Factory Orders m/m,Low Impact Expected,1.0,unit_percentage,0.7,unit_percentage,1.3,unit_percentage,True
118695,2021-01-06 15:30:00+00:00,USD,Crude Oil Inventories,Low Impact Expected,-8.0,unit_million,-2.8,unit_million,-6.1,unit_million,False
111372,2021-01-06 19:00:00+00:00,USD,FOMC Meeting Minutes,High Impact Expected,,,,,,,
117412,2021-01-07 12:30:00+00:00,USD,Challenger Job Cuts y/y,Low Impact Expected,134.5,unit_percentage,,,45.4,unit_percentage,False
117476,2021-01-07 13:30:00+00:00,USD,Trade Balance,Low Impact Expected,-68.1,unit_billion,-66.7,unit_billion,-63.1,unit_billion,False
117424,2021-01-07 13:30:00+00:00,USD,Unemployment Claims,Medium Impact Expected,787.0,unit_thousand,798.0,unit_thousand,790.0,unit_thousand,True
117531,2021-01-07 15:00:00+00:00,USD,ISM Services PMI,Medium Impact Expected,57.2,unit_none,54.5,unit_none,55.9,unit_none,False
118643,2021-01-07 15:30:00+00:00,USD,Natural Gas Storage,Low Impact Expected,-130.0,unit_billion,-142.0,unit_billion,-114.0,unit_billion,False
121382,2021-01-07 18:00:00+00:00,USD,FOMC Member Evans Speaks,Low Impact Expected,,,,,,,
117377,2021-01-08 13:30:00+00:00,USD,Average Hourly Earnings m/m,High Impact Expected,0.8,unit_percentage,0.2,unit_percentage,0.3,unit_percentage,False
117364,2021-01-08 13:30:00+00:00,USD,Non-Farm Employment Change,High Impact Expected,-140.0,unit_thousand,60.0,unit_thousand,336.0,unit_thousand,True
117376,2021-01-08 13:30:00+00:00,USD,Unemployment Rate,High Impact Expected,6.7,unit_percentage,6.8,unit_percentage,6.7,unit_percentage,False
118280,2021-01-08 15:00:00+00:00,USD,Final Wholesale Inventories m/m,Low Impact Expected,0.0,unit_percentage,-0.1,unit_percentage,-0.1,unit_percentage,False
121385,2021-01-08 16:00:00+00:00,USD,FOMC Member Clarida Speaks,Low Impact Expected,,,,,,,
118212,2021-01-08 20:00:00+00:00,USD,Consumer Credit m/m,Low Impact Expected,15.3,unit_billion,9.0,unit_billion,4.5,unit_billion,True
121393,2021-01-11 17:00:00+00:00,USD,FOMC Member Bostic Speaks,Low Impact Expected,,,,,,,
118017,2021-01-12 11:00:00+00:00,USD,NFIB Small Business Index,Low Impact Expected,95.9,unit_none,100.1,unit_none,101.4,unit_none,False
121398,2021-01-12 14:35:00+00:00,USD,FOMC Member Brainard Speaks,Low Impact Expected,,,,,,,
118160,2021-01-12 15:00:00+00:00,USD,JOLTS Job Openings,Low Impact Expected,6.53,unit_million,6.42,unit_million,6.63,unit_million,True
118100,2021-01-12 15:02:00+00:00,USD,RCM/TIPP Economic Optimism,Low Impact Expected,50.1,unit_none,50.1,unit_none,49.0,unit_none,False
117703,2021-01-12 18:01:00+00:00,USD,10-y Bond Auction,Low Impact Expected,,unit_none,,,,unit_none,False
117492,2021-01-13 13:30:00+00:00,USD,CPI m/m,Medium Impact Expected,0.4,unit_percentage,0.4,unit_percentage,0.2,unit_percentage,False
128638,2021-01-13 13:30:00+00:00,USD,CPI y/y,High Impact Expected,1.4,unit_percentage,1.4,unit_percentage,1.2,unit_percentage,False
117491,2021-01-13 13:30:00+00:00,USD,Core CPI m/m,Medium Impact Expected,0.1,unit_percentage,0.1,unit_percentage,0.2,unit_percentage,False
118700,2021-01-13 15:30:00+00:00,USD,Crude Oil Inventories,Low Impact Expected,-3.2,unit_million,-3.2,unit_million,-8.0,unit_million,False
121397,2021-01-13 18:00:00+00:00,USD,FOMC Member Brainard Speaks,Low Impact Expected,,,,,,,
117715,2021-01-13 18:01:00+00:00,USD,30-y Bond Auction,Low Impact Expected,,unit_none,,,,unit_none,False
118069,2021-01-13 19:00:00+00:00,USD,Beige Book,Low Impact Expected,,,,,,,
118086,2021-01-13 19:00:00+00:00,USD,Federal Budget Balance,Low Impact Expected,-143.6,unit_billion,-144.5,unit_billion,-145.3,unit_billion,False
121409,2021-01-13 20:00:00+00:00,USD,FOMC Member Clarida Speaks,Low Impact Expected,,,,,,,
118505,2021-01-14 13:30:00+00:00,USD,Import Prices m/m,Low Impact Expected,0.9,unit_percentage,0.7,unit_percentage,0.2,unit_percentage,True
117425,2021-01-14 13:30:00+00:00,USD,Unemployment Claims,Low Impact Expected,965.0,unit_thousand,785.0,unit_thousand,784.0,unit_thousand,True
118644,2021-01-14 15:30:00+00:00,USD,Natural Gas Storage,Low Impact Expected,-134.0,unit_billion,-129.0,unit_billion,-130.0,unit_billion,False
121394,2021-01-14 17:30:00+00:00,USD,Fed Chair Powell Speaks,High Impact Expected,,,,,,,
121526,2021-01-15 00:15:00+00:00,USD,President Biden Speaks,High Impact Expected,,,,,,,
118478,2021-01-15 13:30:00+00:00,USD,Core PPI m/m,Low Impact Expected,0.1,unit_percentage,0.1,unit_percentage,0.1,unit_percentage,False
117581,2021-01-15 13:30:00+00:00,USD,Core Retail Sales m/m,High Impact Expected,-1.4,unit_percentage,-0.1,unit_percentage,-1.3,unit_percentage,True
117969,2021-01-15 13:30:00+00:00,USD,Empire State Manufacturing Index,Low Impact Expected,3.5,unit_none,5.7,unit_none,4.9,unit_none,False
118477,2021-01-15 13:30:00+00:00,USD,PPI m/m,Low Impact Expected,0.3,unit_percentage,0.4,unit_percentage,0.1,unit_percentage,False
117580,2021-01-15 13:30:00+00:00,USD,Retail Sales m/m,High Impact Expected,-0.7,unit_percentage,0.0,unit_percentage,-1.4,unit_percentage,True
118306,2021-01-15 14:15:00+00:00,USD,Capacity Utilization Rate,Low Impact Expected,74.5,unit_percentage,73.4,unit_percentage,73.4,unit_percentage,True
118305,2021-01-15 14:15:00+00:00,USD,Industrial Production m/m,Low Impact Expected,1.6,unit_percentage,0.5,unit_percentage,0.5,unit_percentage,True
118188,2021-01-15 15:00:00+00:00,USD,Business Inventories m/m,Low Impact Expected,0.5,unit_percentage,0.5,unit_percentage,0.8,unit_percentage,True
118112,2021-01-15 15:00:00+00:00,USD,Prelim UoM Consumer Sentiment,Low Impact Expected,79.2,unit_none,79.5,unit_none,80.7,unit_none,True
118113,2021-01-15 15:00:00+00:00,USD,Prelim UoM Inflation Expectations,Low Impact Expected,3.0,unit_percentage,,,2.5,unit_percentage,True
117282,2021-01-18 00:00:00+00:00,USD,Bank Holiday,Non-Economic,,,,,,,
118365,2021-01-19 21:00:00+00:00,USD,TIC Long-Term Purchases,Low Impact Expected,149.2,unit_billion,45.4,unit_billion,51.9,unit_billion,False
118005,2021-01-20 15:00:00+00:00,USD,NAHB Housing Market Index,Low Impact Expected,83.0,unit_none,86.0,unit_none,86.0,unit_none,False
121522,2021-01-20 16:52:00+00:00,USD,President Biden Speaks,High Impact Expected,,,,,,,
118377,2021-01-21 13:30:00+00:00,USD,Building Permits,Low Impact Expected,1.71,unit_million,1.6,unit_million,1.64,unit_million,False
118378,2021-01-21 13:30:00+00:00,USD,Housing Starts,Low Impact Expected,1.67,unit_million,1.56,unit_million,1.58,unit_million,True
118029,2021-01-21 13:30:00+00:00,USD,Philly Fed Manufacturing Index,Medium Impact Expected,26.5,unit_none,11.2,unit_none,11.1,unit_none,False
117426,2021-01-21 13:30:00+00:00,USD,Unemployment Claims,Medium Impact Expected,900.0,unit_thousand,930.0,unit_thousand,926.0,unit_thousand,True
117981,2021-01-22 14:45:00+00:00,USD,Flash Manufacturing PMI,Medium Impact Expected,59.1,unit_none,56.6,unit_none,57.1,unit_none,True
